name,matches,wins,losses,draws,win_rate,decisions,attack_menus,attacks,missed_attack_menus,attack_turns,attacked_turns,abandoned_attack_turns,timeouts,avg_first_attack_turn,deck_count,top_team,examples
01_zoroark190_88135168,60,59,1,0,0.983,2660,983,494,489,494,494,0,0,3.53,90,zoroark190,88135168 88135718 88136757 88138839 88139351
02_Taichicchi_88114269,60,60,0,0,1.0,2622,793,367,426,367,367,0,0,4.43,82,__Taichicchi__,88114269 88114272 88135168 88139351 88141464
03_Yushin_Ito_88136757,60,39,21,0,0.65,2599,614,275,339,275,275,0,0,3.37,40,Yushin Ito,88136757 88140434 88142495 88183542 88192025
04_213tubo_88114272,60,60,0,0,1.0,2677,824,354,470,354,354,0,0,4.5,39,213tubo,88114272 88140934 88143558 88170362 88189899
05_MUHAMMAD_UMER_FAROOQ_88247233,60,48,12,0,0.8,2365,845,373,472,373,373,0,0,3.34,34,MUHAMMAD UMER FAROOQ,88247233 88247782 88249366 88249914 88250446
06_Majkel1337_88139876,60,56,3,1,0.933,3012,1157,521,636,521,521,0,0,3.97,23,Majkel1337,88139876 88195735 88197906 88199435 88204121
07_MUHAMMAD_UMER_FAROOQ_88114269,60,54,6,0,0.9,2896,1098,493,605,493,493,0,0,4.19,13,MUHAMMAD UMER FAROOQ,88114269 88143033 88143428 88143960 88145058
08_flg_88280592,60,59,1,0,0.983,2719,1057,501,556,501,501,0,0,4.1,11,flg,88280592 88282965 88285882 88286403 88286928
09_Budew_88139877,60,60,0,0,1.0,2059,634,311,323,311,311,0,0,4.0,9,Budew,88139877 88147227 88149380 88217155 88223586
10_pop-ketle_88192363,60,58,2,0,0.967,2172,729,318,411,318,318,0,0,3.8,7,pop-ketle,88192363 88143428 88149240 88249914 88261149
11_JZ_88190720,60,60,0,0,1.0,2612,807,366,441,366,366,0,0,3.6,6,JZ,88190720 88203591 88204121 88210517 88239132
12_Zhenyu_Zhang_88208293,60,59,1,0,0.983,3078,837,366,471,366,366,0,0,5.19,6,Zhenyu Zhang,88208293 88209398 88209993 88210975 88255975
13_THIRD_PTCG_Club_88139889,60,56,4,0,0.933,2897,1169,531,638,531,531,0,0,4.87,5,THIRD PTCG Club,88139889 88141449 88149406 88190488 88204232
14_curry_panda_ex_88144497,60,59,1,0,0.983,2087,681,308,373,308,308,0,0,4.39,5,curry panda ex,88144497 88152037 88251535 88261688 88290370
15_deck_88221669,60,59,1,0,0.983,2253,728,339,389,339,339,0,0,4.23,4,ちー,88221669 88252610 88248844 88273125
16_Satoluca_88153002,60,60,0,0,1.0,2306,837,395,442,395,395,0,0,4.57,3,Satoluca,88153002 88249366 88250446
17_Dominic_Peel_88258841,60,60,0,0,1.0,2615,768,342,426,342,342,0,0,4.0,2,Dominic Peel,88258841 88268514
18_Kyles_Light_88153112,60,60,0,0,1.0,1629,344,152,192,152,152,0,0,3.9,2,Kyles Light,88153112 88187788
19_LiamK_88192550,60,56,4,0,0.933,2819,1039,472,567,472,472,0,0,4.05,2,LiamK,88192550 88201040
20_SachinChand_88288578,60,60,0,0,1.0,1551,274,137,137,137,137,0,0,5.3,2,SachinChand,88288578 88155807
21_THIRD_PTCG_Club_88212701,60,55,5,0,0.917,2548,1023,480,543,480,480,0,0,4.03,2,THIRD PTCG Club,88212701 88243841
22_currentbranch_88154615,60,47,13,0,0.783,2196,695,326,369,326,326,0,0,3.5,2,currentbranch,88154615 88246129
23_e-toppo_kurupical_88141972,60,57,3,0,0.95,2664,760,344,416,344,344,0,0,4.16,2,e-toppo + kurupical,88141972 88230163
24_jiatu.l_88135718,60,59,1,0,0.983,2688,793,370,423,370,370,0,0,4.8,2,jiatu.l,88135718 88276586
25_tomo48_88197859,60,43,17,0,0.717,2628,686,336,350,336,336,0,0,4.95,2,"tomo48""",88197859 88155167
26_AI_88181889,60,58,2,0,0.967,1997,575,257,318,257,257,0,0,3.93,1,AI部,88181889
27_Aphrodite_88255227,60,46,14,0,0.767,1982,451,201,250,201,201,0,0,4.36,1,Aphrodite,88255227
28_BabyCows_88262752,60,55,5,0,0.917,2594,921,442,479,442,442,0,0,4.17,1,BabyCows,88262752
29_BioMath_88150296,60,53,7,0,0.883,2923,967,443,524,443,443,0,0,4.67,1,BioMath,88150296
30_Brahim_88138839,60,55,5,0,0.917,2941,1087,504,583,504,504,0,0,3.73,1,Brahim,88138839
31_Dancing_RYAN_88152577,60,57,3,0,0.95,2214,813,355,458,355,355,0,0,3.71,1,Dancing_RYAN,88152577
32_Emanuel_Perez_88234900,60,58,2,0,0.967,2748,903,431,472,431,431,0,0,4.17,1,Emanuel Perez,88234900
33_FabrizioFedericoni_88150868,60,59,1,0,0.983,1820,516,230,286,230,230,0,0,3.77,1,FabrizioFedericoni,88150868
34_Gary_88154072,60,60,0,0,1.0,2636,939,449,490,449,449,0,0,4.2,1,Gary,88154072
35_HATODADON_88145588,60,54,6,0,0.9,2596,846,370,476,370,370,0,0,4.25,1,HATODADON,88145588
36_HSBMAX_88151481,60,56,4,0,0.933,2834,1094,487,607,487,487,0,0,5.53,1,HSBMAX,88151481
37_Jonathan_Amdam_88146648,60,59,1,0,0.983,2693,1025,506,519,506,506,0,0,3.58,1,Jonathan Amdam,88146648
38_Junichi_Saigou_88155735,60,57,3,0,0.95,2966,873,378,495,378,378,0,0,3.36,1,Junichi Saigou,88155735
39_Kaikaku_88253642,60,58,2,0,0.967,2281,738,353,385,353,353,0,0,4.2,1,Kaikaku,88253642
40_Kucing_Garong_88245592,60,49,11,0,0.817,2157,519,238,281,238,238,0,0,3.7,1,Kucing Garong,88245592
41_Leocthl_88157416,60,44,16,0,0.733,2415,607,283,324,283,283,0,0,3.93,1,Leocthl,88157416
42_LiamK_88200003,60,54,6,0,0.9,2682,962,483,479,483,483,0,0,3.4,1,LiamK,88200003
43_Mote_Zhuang_88248321,60,56,4,0,0.933,2270,768,365,403,365,365,0,0,3.97,1,Mote Zhuang,88248321
44_NekoChan-NekoChan_88221583,60,58,2,0,0.967,2744,819,343,476,343,343,0,0,3.67,1,NekoChan-NekoChan,88221583
45_Nora_88255773,60,56,4,0,0.933,1845,498,227,271,227,227,0,0,4.07,1,Nora,88255773
46_PP_kawada_88145696,60,59,1,0,0.983,2252,688,303,385,303,303,0,0,3.55,1,PP kawada,88145696
47_PieForever_88264373,60,39,21,0,0.65,2596,694,314,380,314,314,0,0,4.39,1,PieForever,88264373
48_Saianiruth_M_88157484,60,56,4,0,0.933,2357,723,309,414,309,309,0,0,3.5,1,Saianiruth M,88157484
49_Sohshi_Nakamura_88262219,60,47,13,0,0.783,2591,630,275,355,275,275,0,0,4.54,1,Sohshi Nakamura,88262219
50_TCre15_88232765,60,58,2,0,0.967,2167,628,268,360,268,268,0,0,4.92,1,TCre15,88232765
51_TTT_Is_All_You_Need_88140397,60,57,3,0,0.95,2755,777,331,446,331,331,0,0,3.86,1,TTT Is All You Need,88140397
52_Thomas_Cook_88147191,60,54,6,0,0.9,2946,1064,497,567,497,497,0,0,3.91,1,Thomas Cook,88147191
53_UBI_ISHI_88252076,60,52,8,0,0.867,2183,540,233,307,233,233,0,0,4.24,1,UBI=ISHI,88252076
54_Xxbozohead_88250998,60,59,1,0,0.983,1739,444,199,245,199,199,0,0,3.8,1,Xxbozohead,88250998
55_Yohanchen_88149782,60,59,1,0,0.983,2070,640,300,340,300,300,0,0,3.83,1,Yohanchen,88149782
56_Yuminosuke_Sato_88143960,60,47,12,1,0.783,2513,800,344,456,344,344,0,0,3.25,1,Yuminosuke Sato,88143960
57_ZhWing_Fence_88205289,60,58,2,0,0.967,2390,924,450,474,450,450,0,0,3.91,1,ZhWing Fence,88205289
58_chenzhengy_88157952,60,59,1,0,0.983,2386,707,318,389,318,318,0,0,5.17,1,chenzhengy,88157952
59_cherlilly_88148790,60,46,14,0,0.767,2399,621,264,357,264,264,0,0,4.39,1,cherlilly,88148790
60_daiki_pyonkichi_88146122,60,47,13,0,0.783,2285,578,266,312,266,266,0,0,3.36,1,daiki_pyonkichi,88146122
61_ei_ei_ei_yikuso_88281365,60,48,12,0,0.8,2414,611,259,352,259,259,0,0,4.17,1,ei ei ei yikuso,88281365
62_goonew_88149906,60,50,10,0,0.833,2648,693,299,394,299,299,0,0,4.69,1,goonew,88149906
63_itohudo_88246713,60,49,9,2,0.817,2754,903,421,482,421,421,0,0,4.1,1,itohudo,88246713
64_jin_hiratsuka_88264935,60,57,3,0,0.95,1932,446,208,238,208,208,0,0,5.55,1,jin hiratsuka,88264935
65_minoruno_88145058,60,58,2,0,0.967,2273,796,345,451,345,345,0,0,3.67,1,minoruno,88145058
66_pattikamo_88156894,60,58,2,0,0.967,2485,882,421,461,421,421,0,0,4.36,1,pattikamo,88156894
67_pickles0923_88156264,60,57,3,0,0.95,2301,584,245,339,245,245,0,0,5.1,1,pickles0923,88156264
68_poket_monster_88155258,60,50,10,0,0.833,2015,504,210,294,210,210,0,0,3.57,1,poket monster,88155258
69_qb_88249393,60,56,4,0,0.933,2492,679,317,362,317,317,0,0,3.46,1,qb,88249393
70_sai_vineeth_88154720,60,60,0,0,1.0,2218,800,352,448,352,352,0,0,3.03,1,sai vineeth,88154720
71_sakura_atm_88148218,60,53,7,0,0.883,2978,1020,460,560,460,460,0,0,3.9,1,sakura_atm,88148218
72_wonjae_88156364,60,60,0,0,1.0,2543,884,389,495,389,389,0,0,4.37,1,wonjae,88156364
73_yasuna_88154188,60,58,2,0,0.967,2117,707,306,401,306,306,0,0,3.95,1,yasuna,88154188
74_yyou97_88253125,60,55,5,0,0.917,2043,603,275,328,275,275,0,0,3.96,1,yyou97,88253125
75_deck_88170362,60,44,16,0,0.733,2228,727,335,392,335,335,0,0,3.31,1,まーやん,88170362
76_deck_88153647,60,57,3,0,0.95,2834,1114,560,554,560,560,0,0,4.03,1,ジェニファー,88153647
77_deck_88258639,60,60,0,0,1.0,2656,985,435,550,435,435,0,0,3.97,1,タニシ,88258639
78_deck_88247782,60,60,0,0,1.0,2476,893,415,478,415,415,0,0,4.1,1,一石三頭,88247782
79_deck_88222802,60,58,2,0,0.967,1829,391,184,207,184,184,0,0,4.16,1,溶岩,88222802
80_deck_88273894,60,52,8,0,0.867,2143,554,238,316,238,238,0,0,3.88,1,田原,88273894
