name,matches,wins,losses,draws,win_rate,decisions,attack_menus,attacks,missed_attack_menus,attack_turns,attacked_turns,abandoned_attack_turns,timeouts,avg_first_attack_turn,deck_count,top_team,examples
01_zoroark190_88135168,60,59,1,0,0.983,2514,909,438,471,438,438,0,0,4.37,90,zoroark190,88135168 88135718 88136757 88138839 88139351
02_Taichicchi_88114269,60,60,0,0,1.0,2646,791,349,442,349,349,0,0,3.8,82,__Taichicchi__,88114269 88114272 88135168 88139351 88141464
03_Yushin_Ito_88136757,60,42,18,0,0.7,2541,673,293,380,293,293,0,0,3.68,40,Yushin Ito,88136757 88140434 88142495 88183542 88192025
04_213tubo_88114272,60,60,0,0,1.0,2535,839,399,440,399,399,0,0,3.57,39,213tubo,88114272 88140934 88143558 88170362 88189899
05_MUHAMMAD_UMER_FAROOQ_88247233,60,55,5,0,0.917,2416,938,419,519,419,419,0,0,3.22,34,MUHAMMAD UMER FAROOQ,88247233 88247782 88249366 88249914 88250446
06_Majkel1337_88139876,60,56,4,0,0.933,2888,1091,501,590,501,501,0,0,3.9,23,Majkel1337,88139876 88195735 88197906 88199435 88204121
07_MUHAMMAD_UMER_FAROOQ_88114269,60,57,3,0,0.95,2749,1091,498,593,498,498,0,0,4.4,13,MUHAMMAD UMER FAROOQ,88114269 88143033 88143428 88143960 88145058
08_flg_88280592,60,60,0,0,1.0,2759,977,475,502,475,475,0,0,5.67,11,flg,88280592 88282965 88285882 88286403 88286928
09_Budew_88139877,60,59,1,0,0.983,2213,720,328,392,328,328,0,0,4.23,9,Budew,88139877 88147227 88149380 88217155 88223586
10_pop-ketle_88192363,60,60,0,0,1.0,2133,764,339,425,339,339,0,0,3.07,7,pop-ketle,88192363 88143428 88149240 88249914 88261149
11_JZ_88190720,60,56,4,0,0.933,2722,767,324,443,324,324,0,0,3.2,6,JZ,88190720 88203591 88204121 88210517 88239132
12_Zhenyu_Zhang_88208293,60,58,2,0,0.967,2671,773,349,424,349,349,0,0,3.14,6,Zhenyu Zhang,88208293 88209398 88209993 88210975 88255975
13_THIRD_PTCG_Club_88139889,60,55,5,0,0.917,2983,1069,454,615,454,454,0,0,4.83,5,THIRD PTCG Club,88139889 88141449 88149406 88190488 88204232
14_curry_panda_ex_88144497,60,57,3,0,0.95,2235,808,365,443,365,365,0,0,4.22,5,curry panda ex,88144497 88152037 88251535 88261688 88290370
15_deck_88221669,60,58,2,0,0.967,2327,829,370,459,370,370,0,0,3.83,4,ちー,88221669 88252610 88248844 88273125
16_Satoluca_88153002,60,57,3,0,0.95,2484,871,402,469,402,402,0,0,4.11,3,Satoluca,88153002 88249366 88250446
17_Dominic_Peel_88258841,60,60,0,0,1.0,2511,802,367,435,367,367,0,0,4.17,2,Dominic Peel,88258841 88268514
18_Kyles_Light_88153112,60,60,0,0,1.0,1681,345,160,185,160,160,0,0,4.6,2,Kyles Light,88153112 88187788
19_LiamK_88192550,60,55,5,0,0.917,3247,1093,512,581,512,512,0,0,4.97,2,LiamK,88192550 88201040
20_SachinChand_88288578,60,60,0,0,1.0,1617,357,154,203,154,154,0,0,4.23,2,SachinChand,88288578 88155807
21_THIRD_PTCG_Club_88212701,60,55,5,0,0.917,2808,1046,467,579,467,467,0,0,4.2,2,THIRD PTCG Club,88212701 88243841
22_currentbranch_88154615,60,50,10,0,0.833,2385,812,364,448,364,364,0,0,3.6,2,currentbranch,88154615 88246129
23_e-toppo_kurupical_88141972,60,59,1,0,0.983,2843,795,359,436,359,359,0,0,4.8,2,e-toppo + kurupical,88141972 88230163
24_jiatu.l_88135718,60,59,1,0,0.983,2526,757,341,416,341,341,0,0,3.67,2,jiatu.l,88135718 88276586
25_tomo48_88197859,60,47,13,0,0.783,2591,753,333,420,333,333,0,0,3.8,2,"tomo48""",88197859 88155167
26_AI_88181889,60,58,2,0,0.967,2003,655,320,335,320,320,0,0,3.66,1,AI部,88181889
27_Aphrodite_88255227,60,47,13,0,0.783,2108,519,228,291,228,228,0,0,3.28,1,Aphrodite,88255227
28_BabyCows_88262752,60,56,4,0,0.933,2644,970,457,513,457,457,0,0,2.93,1,BabyCows,88262752
29_BioMath_88150296,60,57,3,0,0.95,2840,990,466,524,466,466,0,0,4.27,1,BioMath,88150296
30_Brahim_88138839,60,57,3,0,0.95,2921,1100,503,597,503,503,0,0,4.17,1,Brahim,88138839
31_Dancing_RYAN_88152577,60,57,3,0,0.95,2249,766,316,450,316,316,0,0,3.5,1,Dancing_RYAN,88152577
32_Emanuel_Perez_88234900,60,59,1,0,0.983,2774,885,416,469,416,416,0,0,4.7,1,Emanuel Perez,88234900
33_FabrizioFedericoni_88150868,60,58,2,0,0.967,1928,536,243,293,243,243,0,0,4.68,1,FabrizioFedericoni,88150868
34_Gary_88154072,60,58,2,0,0.967,2968,1082,504,578,504,504,0,0,3.39,1,Gary,88154072
35_HATODADON_88145588,60,59,1,0,0.983,2482,925,389,536,389,389,0,0,3.9,1,HATODADON,88145588
36_HSBMAX_88151481,60,58,2,0,0.967,2848,1122,520,602,520,520,0,0,3.7,1,HSBMAX,88151481
37_Jonathan_Amdam_88146648,60,59,1,0,0.983,2935,1079,500,579,500,500,0,0,4.83,1,Jonathan Amdam,88146648
38_Junichi_Saigou_88155735,60,56,4,0,0.933,2837,820,349,471,349,349,0,0,4.4,1,Junichi Saigou,88155735
39_Kaikaku_88253642,60,59,1,0,0.983,2341,752,321,431,321,321,0,0,4.67,1,Kaikaku,88253642
40_Kucing_Garong_88245592,60,50,10,0,0.833,2354,666,327,339,327,327,0,0,3.97,1,Kucing Garong,88245592
41_Leocthl_88157416,60,42,18,0,0.7,2675,747,358,389,358,358,0,0,3.64,1,Leocthl,88157416
42_LiamK_88200003,60,55,5,0,0.917,2818,1018,480,538,480,480,0,0,3.98,1,LiamK,88200003
43_Mote_Zhuang_88248321,60,59,1,0,0.983,2384,721,314,407,314,314,0,0,5.64,1,Mote Zhuang,88248321
44_NekoChan-NekoChan_88221583,60,56,4,0,0.933,2592,791,343,448,343,343,0,0,3.5,1,NekoChan-NekoChan,88221583
45_Nora_88255773,60,58,2,0,0.967,2252,612,263,349,263,263,0,0,4.9,1,Nora,88255773
46_PP_kawada_88145696,60,58,2,0,0.967,2279,681,303,378,303,303,0,0,4.8,1,PP kawada,88145696
47_PieForever_88264373,60,41,19,0,0.683,2347,585,270,315,270,270,0,0,3.72,1,PieForever,88264373
48_Saianiruth_M_88157484,60,52,8,0,0.867,2422,744,326,418,326,326,0,0,5.1,1,Saianiruth M,88157484
49_Sohshi_Nakamura_88262219,60,44,16,0,0.733,2457,589,258,331,258,258,0,0,4.19,1,Sohshi Nakamura,88262219
50_TCre15_88232765,60,59,1,0,0.983,2006,587,276,311,276,276,0,0,4.95,1,TCre15,88232765
51_TTT_Is_All_You_Need_88140397,60,59,1,0,0.983,2754,810,373,437,373,373,0,0,4.12,1,TTT Is All You Need,88140397
52_Thomas_Cook_88147191,60,58,2,0,0.967,2931,1156,528,628,528,528,0,0,4.07,1,Thomas Cook,88147191
53_UBI_ISHI_88252076,60,46,14,0,0.767,1951,407,185,222,185,185,0,0,5.1,1,UBI=ISHI,88252076
54_Xxbozohead_88250998,60,59,1,0,0.983,1841,469,220,249,220,220,0,0,4.63,1,Xxbozohead,88250998
55_Yohanchen_88149782,60,60,0,0,1.0,2055,686,302,384,302,302,0,0,3.4,1,Yohanchen,88149782
56_Yuminosuke_Sato_88143960,60,48,11,1,0.8,2397,766,336,430,336,336,0,0,3.17,1,Yuminosuke Sato,88143960
57_ZhWing_Fence_88205289,60,57,3,0,0.95,2604,942,419,523,419,419,0,0,3.29,1,ZhWing Fence,88205289
58_chenzhengy_88157952,60,59,1,0,0.983,2258,685,316,369,316,316,0,0,3.8,1,chenzhengy,88157952
59_cherlilly_88148790,60,43,17,0,0.717,2304,574,270,304,270,270,0,0,4.38,1,cherlilly,88148790
60_daiki_pyonkichi_88146122,60,44,16,0,0.733,2667,627,272,355,272,272,0,0,3.68,1,daiki_pyonkichi,88146122
61_ei_ei_ei_yikuso_88281365,60,43,17,0,0.717,2226,631,275,356,275,275,0,0,4.36,1,ei ei ei yikuso,88281365
62_goonew_88149906,60,51,9,0,0.85,2276,618,276,342,276,276,0,0,3.53,1,goonew,88149906
63_itohudo_88246713,60,54,5,1,0.9,2803,1000,464,536,464,464,0,0,3.34,1,itohudo,88246713
64_jin_hiratsuka_88264935,60,54,6,0,0.9,1883,457,211,246,211,211,0,0,3.97,1,jin hiratsuka,88264935
65_minoruno_88145058,60,58,2,0,0.967,2033,653,287,366,287,287,0,0,3.6,1,minoruno,88145058
66_pattikamo_88156894,60,58,2,0,0.967,2451,866,406,460,406,406,0,0,4.88,1,pattikamo,88156894
67_pickles0923_88156264,60,60,0,0,1.0,2174,624,278,346,278,278,0,0,4.37,1,pickles0923,88156264
68_poket_monster_88155258,60,47,13,0,0.783,2008,448,204,244,204,204,0,0,4.15,1,poket monster,88155258
69_qb_88249393,60,60,0,0,1.0,2328,824,372,452,372,372,0,0,3.57,1,qb,88249393
70_sai_vineeth_88154720,60,59,1,0,0.983,2233,810,369,441,369,369,0,0,3.34,1,sai vineeth,88154720
71_sakura_atm_88148218,60,50,9,1,0.833,2415,896,400,496,400,400,0,0,4.17,1,sakura_atm,88148218
72_wonjae_88156364,60,60,0,0,1.0,2463,808,367,441,367,367,0,0,4.15,1,wonjae,88156364
73_yasuna_88154188,60,59,1,0,0.983,2400,857,378,479,378,378,0,0,3.51,1,yasuna,88154188
74_yyou97_88253125,60,57,3,0,0.95,2217,621,287,334,287,287,0,0,3.86,1,yyou97,88253125
75_deck_88170362,60,46,14,0,0.767,2321,704,324,380,324,324,0,0,3.25,1,まーやん,88170362
76_deck_88153647,60,59,1,0,0.983,2943,1121,549,572,549,549,0,0,5.7,1,ジェニファー,88153647
77_deck_88258639,60,60,0,0,1.0,2548,916,427,489,427,427,0,0,4.2,1,タニシ,88258639
78_deck_88247782,60,59,1,0,0.983,2484,842,405,437,405,405,0,0,3.73,1,一石三頭,88247782
79_deck_88222802,60,59,1,0,0.983,1718,436,219,217,219,219,0,0,4.15,1,溶岩,88222802
80_deck_88273894,60,48,12,0,0.8,1872,497,227,270,227,227,0,0,3.24,1,田原,88273894
