name,matches,wins,losses,draws,win_rate,decisions,attack_menus,attacks,missed_attack_menus,attack_turns,attacked_turns,abandoned_attack_turns,timeouts,avg_first_attack_turn,deck_count,top_team,examples
01_zoroark190_88135168,300,294,6,0,0.98,12825,4611,2221,2390,2221,2221,0,0,4.03,90,zoroark190,88135168 88135718 88136757 88138839 88139351
02_Taichicchi_88114269,300,296,4,0,0.987,13242,4103,1836,2267,1836,1836,0,0,4.28,82,__Taichicchi__,88114269 88114272 88135168 88139351 88141464
03_Yushin_Ito_88136757,300,204,96,0,0.68,11853,2808,1272,1536,1272,1272,0,0,4.52,40,Yushin Ito,88136757 88140434 88142495 88183542 88192025
04_213tubo_88114272,300,289,11,0,0.963,13459,3927,1768,2159,1768,1768,0,0,4.24,39,213tubo,88114272 88140934 88143558 88170362 88189899
05_MUHAMMAD_UMER_FAROOQ_88247233,300,239,61,0,0.797,12319,4224,1927,2297,1927,1927,0,0,3.41,34,MUHAMMAD UMER FAROOQ,88247233 88247782 88249366 88249914 88250446
06_Majkel1337_88139876,300,281,19,0,0.937,14353,5499,2543,2956,2543,2543,0,0,4.17,23,Majkel1337,88139876 88195735 88197906 88199435 88204121
07_MUHAMMAD_UMER_FAROOQ_88114269,300,275,25,0,0.917,14873,5657,2564,3093,2564,2564,0,0,4.35,13,MUHAMMAD UMER FAROOQ,88114269 88143033 88143428 88143960 88145058
08_flg_88280592,300,296,4,0,0.987,13778,4879,2353,2526,2353,2353,0,0,4.79,11,flg,88280592 88282965 88285882 88286403 88286928
09_Budew_88139877,300,298,2,0,0.993,10686,3192,1441,1751,1441,1441,0,0,4.76,9,Budew,88139877 88147227 88149380 88217155 88223586
10_pop-ketle_88192363,300,296,4,0,0.987,11241,3891,1682,2209,1682,1682,0,0,3.92,7,pop-ketle,88192363 88143428 88149240 88249914 88261149
