name,matches,wins,losses,draws,win_rate,decisions,attack_menus,attacks,missed_attack_menus,attack_turns,attacked_turns,abandoned_attack_turns,timeouts,avg_first_attack_turn,deck_count,top_team,examples
01_zoroark190_88135168,60,57,3,0,0.95,2713,940,453,487,453,453,0,0,4.18,90,zoroark190,88135168 88135718 88136757 88138839 88139351
02_Taichicchi_88114269,60,56,4,0,0.933,2605,824,363,461,363,363,0,0,3.66,82,__Taichicchi__,88114269 88114272 88135168 88139351 88141464
03_Yushin_Ito_88136757,60,49,11,0,0.817,2888,759,320,439,320,320,0,0,4.85,40,Yushin Ito,88136757 88140434 88142495 88183542 88192025
04_213tubo_88114272,60,58,2,0,0.967,2897,807,345,462,345,345,0,0,4.4,39,213tubo,88114272 88140934 88143558 88170362 88189899
05_MUHAMMAD_UMER_FAROOQ_88247233,60,48,11,1,0.8,2446,778,362,416,362,362,0,0,4.09,34,MUHAMMAD UMER FAROOQ,88247233 88247782 88249366 88249914 88250446
06_Majkel1337_88139876,60,54,6,0,0.9,2925,1179,497,682,497,497,0,0,3.8,23,Majkel1337,88139876 88195735 88197906 88199435 88204121
07_MUHAMMAD_UMER_FAROOQ_88114269,60,54,6,0,0.9,3007,1231,546,685,546,546,0,0,3.7,13,MUHAMMAD UMER FAROOQ,88114269 88143033 88143428 88143960 88145058
08_flg_88280592,60,59,1,0,0.983,2618,995,466,529,466,466,0,0,3.3,11,flg,88280592 88282965 88285882 88286403 88286928
09_Budew_88139877,60,59,1,0,0.983,2119,716,321,395,321,321,0,0,3.6,9,Budew,88139877 88147227 88149380 88217155 88223586
10_pop-ketle_88192363,60,60,0,0,1.0,2214,777,328,449,328,328,0,0,3.93,7,pop-ketle,88192363 88143428 88149240 88249914 88261149
11_JZ_88190720,60,59,1,0,0.983,2610,759,338,421,338,338,0,0,3.73,6,JZ,88190720 88203591 88204121 88210517 88239132
12_Zhenyu_Zhang_88208293,60,57,3,0,0.95,2798,842,354,488,354,354,0,0,4.33,6,Zhenyu Zhang,88208293 88209398 88209993 88210975 88255975
13_THIRD_PTCG_Club_88139889,60,50,10,0,0.833,2954,1005,478,527,478,478,0,0,3.43,5,THIRD PTCG Club,88139889 88141449 88149406 88190488 88204232
14_curry_panda_ex_88144497,60,58,2,0,0.967,2259,802,356,446,356,356,0,0,3.93,5,curry panda ex,88144497 88152037 88251535 88261688 88290370
15_deck_88221669,60,59,1,0,0.983,2252,695,305,390,305,305,0,0,4.29,4,ちー,88221669 88252610 88248844 88273125
16_Satoluca_88153002,60,59,1,0,0.983,2230,768,353,415,353,353,0,0,4.27,3,Satoluca,88153002 88249366 88250446
17_Dominic_Peel_88258841,60,59,1,0,0.983,2944,817,366,451,366,366,0,0,5.24,2,Dominic Peel,88258841 88268514
18_Kyles_Light_88153112,60,59,1,0,0.983,1809,401,166,235,166,166,0,0,3.97,2,Kyles Light,88153112 88187788
19_LiamK_88192550,60,59,1,0,0.983,2831,1117,504,613,504,504,0,0,3.4,2,LiamK,88192550 88201040
20_SachinChand_88288578,60,58,2,0,0.967,1892,399,181,218,181,181,0,0,4.57,2,SachinChand,88288578 88155807
21_THIRD_PTCG_Club_88212701,60,57,3,0,0.95,2730,984,444,540,444,444,0,0,4.28,2,THIRD PTCG Club,88212701 88243841
22_currentbranch_88154615,60,49,11,0,0.817,2392,779,356,423,356,356,0,0,3.27,2,currentbranch,88154615 88246129
23_e-toppo_kurupical_88141972,60,59,1,0,0.983,2763,845,371,474,371,371,0,0,4.57,2,e-toppo + kurupical,88141972 88230163
24_jiatu.l_88135718,60,60,0,0,1.0,2652,844,355,489,355,355,0,0,4.7,2,jiatu.l,88135718 88276586
25_tomo48_88197859,60,44,16,0,0.733,2549,647,280,367,280,280,0,0,4.73,2,"tomo48""",88197859 88155167
26_AI_88181889,60,58,2,0,0.967,2002,548,259,289,259,259,0,0,3.91,1,AI部,88181889
27_Aphrodite_88255227,60,47,13,0,0.783,2349,673,301,372,301,301,0,0,3.9,1,Aphrodite,88255227
28_BabyCows_88262752,60,57,3,0,0.95,2755,1091,465,626,465,465,0,0,3.97,1,BabyCows,88262752
