episode_id,evaluation_status,original_outcome,result,comparison,wins,losses,draws,win_rate,replacement_kind,replacement_seat,replacement_team,opponent_team,original_first_player,first_player_forced,scripted_fraction,opponent_fidelity,primary_attacked_turns,primary_attack_turns,primary_abandoned_attack_turns,loss_triage_signal,path,avg_first_attack_turn,baseline_result,baseline_win_rate,candidate_deck_sha256,decisive_win_rate,first_player_preserved_trials,forced_first_player_decisions,kaggle_seed_metadata,local_engine_seed_applied,observed_first_players,opponent_deck_sha256,opponent_exceptions,opponent_fallback_decisions,opponent_high_confidence_scripted,opponent_script_decisions,opponent_scripted_decisions,primary_attack_menus,primary_attacks,protocol_id,regression_vs_baseline,replay_module_version,replay_schema_version,replay_sha256,replay_statuses,replay_steps,result_reasons,timeouts,trials,win_rate_ci95_high,win_rate_ci95_low,win_rate_delta_vs_baseline
88527351,ok,loss,win,improved,3,0,0,1.0,our_agent,1,ROASTERS,t.eno,0,1,0.606299,semantic_script_plus_generic_fallback,16,16,0,,scouting_replays/our_agent_v8/losses/88527351.json,2.667,,,4d9ca6731b5adabd46d4ad9f6123fd511e4c1da4c98081a9af7058c222e47448,1.0,3,3,44111119,0,"{""0"": 3}",c20a8a46f5c635773754f03103652f5c534b13dc622448ed2255a97234c103af,0,50,2,96,77,36,16,counterfactual-replay-v2,,1.32.2,1,4f740f7f219aca1c8d2cd1b1aa68e7edde8a11599d17091367e43aa3bfb410b5,"[""DONE"", ""DONE""]",130,"{""no_active_pokemon"": 1, ""prizes"": 2}",0,3,1.0,0.438503,
88527969,ok,win,win,preserved_win,3,0,0,1.0,our_agent,0,ROASTERS,Masa,0,1,0.761905,semantic_script_plus_generic_fallback,8,8,0,,scouting_replays/our_agent_v8/wins/88527969.json,3.0,,,4d9ca6731b5adabd46d4ad9f6123fd511e4c1da4c98081a9af7058c222e47448,1.0,3,3,797338819,0,"{""0"": 3}",fed6cd8c56270382d100d737e16fa67bcf947b16978d3e639a77d549fd4df688,0,15,2,81,48,21,8,counterfactual-replay-v2,,1.32.2,1,0803dbc884877c7187497a4300c74538a6afe6d67ab81671c01ee52ae0e3e747,"[""DONE"", ""DONE""]",136,"{""no_active_pokemon"": 3}",0,3,1.0,0.438503,
88528562,ok,loss,win,improved,3,0,0,1.0,our_agent,0,ROASTERS,Pietro,0,1,0.826087,semantic_script_plus_generic_fallback,5,5,0,,scouting_replays/our_agent_v8/losses/88528562.json,3.667,,,4d9ca6731b5adabd46d4ad9f6123fd511e4c1da4c98081a9af7058c222e47448,1.0,3,3,671829503,0,"{""0"": 3}",5f9f13aa00c77a62f88bf6026720ed6acded93fabf8c6a41dc0a39e8c41dab02,0,4,3,56,19,11,5,counterfactual-replay-v2,,1.32.2,1,2dfe6deaea168b3e712e18d28b1efce17dcea50cf786745a9258a05e09b0b77e,"[""DONE"", ""DONE""]",108,"{""no_active_pokemon"": 3}",0,3,1.0,0.438503,
88688530,ok,win,win,preserved_win,3,0,0,1.0,our_agent,1,ROASTERS,Linda Brown,0,1,0.813084,semantic_script_plus_generic_fallback,22,22,0,,scouting_replays/our_agent_v8/wins/88688530.json,2.0,,,4d9ca6731b5adabd46d4ad9f6123fd511e4c1da4c98081a9af7058c222e47448,1.0,3,3,1490014297,0,"{""0"": 3}",76812200d26122ba4619f859b0f24ba9eaa44fcd1a7cc6ec49a295c51da093c7,0,20,7,86,87,48,22,counterfactual-replay-v2,,1.32.2,1,71b5a5723e2637a5f28eb6da0b7cb85c69346da11ae1b2c92d56fa4b4ace60ec,"[""DONE"", ""DONE""]",135,"{""no_active_pokemon"": 1, ""prizes"": 2}",0,3,1.0,0.438503,
88702243,ok,loss,win,improved,3,0,0,1.0,our_agent,1,ROASTERS,H.Ito,0,1,0.470588,semantic_script_plus_generic_fallback,12,12,0,,scouting_replays/our_agent_v8/losses/88702243.json,4.667,,,4d9ca6731b5adabd46d4ad9f6123fd511e4c1da4c98081a9af7058c222e47448,1.0,3,3,2122658015,0,"{""0"": 3}",834cfd5e98238af8251c190f2c7249187b462033c8e43018bc9941fdbfde330f,0,45,3,45,40,22,12,counterfactual-replay-v2,,1.32.2,1,38fb3fff31f506b8c7061f9349d90fb230097f2417c9c3f4fdf3013f2a4f2b26,"[""DONE"", ""DONE""]",81,"{""no_active_pokemon"": 2, ""prizes"": 1}",0,3,1.0,0.438503,
88702773,ok,win,win,preserved_win,3,0,0,1.0,our_agent,0,ROASTERS,kkkk,0,1,0.825,semantic_script_plus_generic_fallback,11,11,0,,scouting_replays/our_agent_v8/wins/88702773.json,3.0,,,4d9ca6731b5adabd46d4ad9f6123fd511e4c1da4c98081a9af7058c222e47448,1.0,3,3,1934614308,0,"{""0"": 3}",87bed7987bdc4c0666f0735af0d66ce8d3a1e46155532e1aa68aea1abb85052b,0,7,2,100,33,22,11,counterfactual-replay-v2,,1.32.2,1,2b7d5f4817bdca6fde2ab3875f6bf9973fc9b9f71dd11d181e28153db351f95a,"[""DONE"", ""DONE""]",171,"{""no_active_pokemon"": 3}",0,3,1.0,0.438503,
88710371,ok,win,win,preserved_win,3,0,0,1.0,our_agent,1,ROASTERS,NayuNayu,0,1,0.8125,semantic_script_plus_generic_fallback,7,7,0,,scouting_replays/our_agent_v8/wins/88710371.json,4.667,,,4d9ca6731b5adabd46d4ad9f6123fd511e4c1da4c98081a9af7058c222e47448,1.0,3,3,117707838,0,"{""0"": 3}",ca5599de2fa40f7b61e73ced5c5ace2c7d04377ca437ba4cc3a2cc46b1e9b95f,0,6,0,148,26,18,7,counterfactual-replay-v2,,1.32.2,1,1bbc249722b23832a43c4560bd714d9bffb38f3629b5fddd7ae24e4eb14edb51,"[""DONE"", ""DONE""]",204,"{""no_active_pokemon"": 3}",0,3,1.0,0.438503,
88724413,ok,win,win,preserved_win,3,0,0,1.0,our_agent,1,ROASTERS,Lixin Yin,0,1,0.8,semantic_script_plus_generic_fallback,12,12,0,,scouting_replays/our_agent_v8/wins/88724413.json,8.667,,,4d9ca6731b5adabd46d4ad9f6123fd511e4c1da4c98081a9af7058c222e47448,1.0,3,3,1810228550,0,"{""0"": 3}",76812200d26122ba4619f859b0f24ba9eaa44fcd1a7cc6ec49a295c51da093c7,0,16,5,82,64,34,12,counterfactual-replay-v2,,1.32.2,1,bf6567e5170bcc834ce709319d724f8747010369c09df8fe811cd84223671af2,"[""DONE"", ""DONE""]",131,"{""no_active_pokemon"": 3}",0,3,1.0,0.438503,
88727264,ok,loss,win,improved,3,0,0,1.0,our_agent,1,ROASTERS,fle3n + codex AGI X26,0,1,0.579882,semantic_script_plus_generic_fallback,17,17,0,,scouting_replays/our_agent_v8/losses/88727264.json,4.0,,,4d9ca6731b5adabd46d4ad9f6123fd511e4c1da4c98081a9af7058c222e47448,1.0,3,3,231123142,0,"{""0"": 3}",c20a8a46f5c635773754f03103652f5c534b13dc622448ed2255a97234c103af,0,71,6,124,98,41,17,counterfactual-replay-v2,,1.32.2,1,934a9867fda61b78a0f4a20720867616ed80d19ac8d3c948158d5eb726cda339,"[""DONE"", ""DONE""]",163,"{""no_active_pokemon"": 1, ""prizes"": 2}",0,3,1.0,0.438503,
88734629,ok,win,win,preserved_win,3,0,0,1.0,our_agent,1,ROASTERS,ezreal77,0,1,0.75,semantic_script_plus_generic_fallback,8,8,0,,scouting_replays/our_agent_v8/wins/88734629.json,2.0,,,4d9ca6731b5adabd46d4ad9f6123fd511e4c1da4c98081a9af7058c222e47448,1.0,3,3,1408928327,0,"{""0"": 3}",c20a8a46f5c635773754f03103652f5c534b13dc622448ed2255a97234c103af,0,9,2,103,27,19,8,counterfactual-replay-v2,,1.32.2,1,482f2b19d881fb3d180e5561a49abead9e8d4659db06df73209d984f8b19559a,"[""DONE"", ""DONE""]",155,"{""no_active_pokemon"": 3}",0,3,1.0,0.438503,
